107317,230019229707,Абдрахманова Анастасия Ермековна,F,2008-04-27,5434,1027,2025-09-15,true,false
106670,722335809589,Ахметов Темирлан Сергеевич,M,2012-12-20,5395,1025,2025-09-06,false,false
102126,325331330400,Ахметова Виктория Маратовна,F,2011-06-25,5125,1008,2025-09-13,true,false
102891,990367683881,Мухамеджанов Дамир Ермекович,M,2012-03-20,5169,1011,2025-09-06,true,false
101632,657396170638,Петров Никита Сергеевич,M,2008-07-04,5096,1006,2025-09-10,true,false
106518,394083383077,Ким Алина Ерлановна,F,2007-07-28,5386,1024,2025-09-12,true,false
103824,942073950364,Ким Жанель Нурлановна,F,2009-07-11,5223,1014,2025-09-14,true,false
101420,236616525717,Петрова Амина Ерлановна,F,2014-09-21,5084,1006,2025-09-13,true,false
103271,660766563094,Ли Айша Руслановна,F,2008-12-27,5191,1012,2025-09-14,true,false
102351,316924523894,Сейдахметова Милана Маратовна,F,2010-05-18,5139,1009,2025-09-12,true,false
100336,587687288462,Сидоров Адиль Ермекович,M,2012-03-23,5021,1002,2025-09-09,true,false
107016,741680093606,Ким Анастасия Кайратовна,F,2011-07-27,5415,1026,2025-09-11,true,false
100697,369540318077,Смагулов Никита Ерланович,M,2011-10-03,5041,1003,2025-09-01,true,false
105209,542420522282,Мухамеджанов Никита Сергеевич,M,2013-06-26,5307,1020,2025-09-09,true,false
101870,301362248526,Абдрахманов Максим Кайратович,M,2009-07-20,5110,1007,2025-09-01,true,false
106253,567733996676,Омаров Артем Русланович,M,2008-05-16,5370,1023,2025-09-03,true,false
100648,113325950616,Мухамеджанов Амир Маратович,M,2013-10-23,5038,1003,2025-09-02,true,false
102672,712866405673,Ахметова Анастасия Андреевна,F,2009-03-09,5157,1010,2025-09-09,true,false
106697,321940216585,Смагулова Аяулым Сергеевна,F,2011-12-08,5397,1025,2025-09-07,true,false
104296,728883968263,Ли Аяулым Ермековна,F,2011-06-12,5252,1016,2025-09-10,true,false
101284,573666981171,Смагулов Нурислам Ерланович,M,2009-04-08,5075,1005,2025-09-04,true,false
102369,644364477281,Мухамеджанов Алихан Нурланович,M,2010-01-10,5140,1009,2025-09-06,false,false
104405,639665236487,Ли Ислам Русланович,M,2008-12-10,5258,1016,2025-09-03,true,false
105331,764519643575,Васильев Ислам Русланович,M,2011-04-01,5313,1020,2025-09-09,true,false
107373,450985964040,Бекенов  Нурислам Маратович,M,2010-05-27,5011,1001,2025-09-02,true,false
101610,693120260400,Васильев Дамир Кайратович,M,2010-11-26,5094,1006,2025-09-14,true,false
103654,946569479109,Сейдахметова София Кайратовна,F,2014-10-13,5214,1014,2025-09-03,true,false
100443,299651204796,Омаров Амир Ермекович,M,2011-09-28,5027,1002,2025-09-01,true,false
106864,271544222652,Токтарова Мадина Ермековна,F,2014-09-13,5407,1026,2025-09-13,true,false
104447,900196896149,Иванов Руслан Маратович,M,2008-01-01,5260,1016,2025-09-14,true,false
106054,832113471017,Васильев Ерасыл Ермекович,M,2014-11-12,5357,1023,2025-09-14,true,false
103017,327942086031,Токтарова Милана Нурлановна,F,2007-05-03,5176,1011,2025-09-08,true,false
104514,750570621346,Абдрахманов Адиль Сергеевич,M,2012-03-19,5264,1017,2025-09-07,false,false
100352,249140158778,Ахметова Мария Нурлановна,F,2012-05-02,5021,1002,2025-09-08,true,false
106836,984320956790,Серикова Анастасия Ермековна,F,2008-10-24,5406,1025,2025-09-11,true,false
106666,648555958267,Жумабеков Данияр Алексеевич,M,2012-10-25,5395,1025,2025-09-10,true,false
103195,451110159769,Петрова Амина Сергеевна,F,2010-10-14,5187,1012,2025-09-04,true,false
104024,894015272048,Петров Артем Кайратович,M,2010-07-04,5236,1015,2025-09-02,true,false
106581,417622578525,Абдрахманова Айша Кайратовна,F,2012-01-18,5390,1025,2025-09-09,true,false
103461,105304545071,Петров Аян Ермекович,M,2011-02-05,5202,1013,2025-09-08,true,false
100292,326209852681,Нурпеисова Дария Сергеевна,F,2014-09-26,5018,1002,2025-09-06,true,false
102643,916560576501,Кузнецов Максим Алексеевич,M,2010-07-05,5155,1010,2025-09-14,true,false
107189,313937859800,Бекенова София Ермековна,F,2012-05-27,5426,1027,2025-09-01,true,false
106729,153771671892,Сидоров Егор Ермекович,M,2010-02-14,5399,1025,2025-09-12,true,false
101596,168789387871,Омаров Данияр Ерланович,M,2010-12-17,5093,1006,2025-09-07,true,false
100418,787015658855,Омаров Максим Андреевич,M,2011-09-17,5025,1002,2025-09-02,true,false
100450,195004578288,Сейдахметов Ерасыл Ерланович,M,2011-10-05,5027,1002,2025-09-07,true,false
101293,393039420284,Петрова Мария Алексеевна,F,2009-06-09,5076,1005,2025-09-08,true,false
101959,888835629414,Омарова Ева Ерлановна,F,2008-02-19,5115,1007,2025-09-14,true,false
106423,904405428375,Жумабекова Милана Андреевна,F,2010-07-17,5380,1024,2025-09-09,false,false
104322,350549711488,Смагулова Айша Руслановна,F,2011-03-20,5253,1016,2025-09-06,true,false
100036,876353311207,Сидоров Нурислам Кайратович,M,2013-08-15,5003,1001,2025-09-10,false,false
106449,690852132173,Петрова Алина Нурлановна,F,2010-07-25,5382,1024,2025-09-09,true,false
100038,690973494218,Петров Егор Русланович,M,2012-01-21,5003,1001,2025-09-09,true,false
107144,199547258553,Серикова Айша Ермековна,F,2013-03-11,5424,1027,2025-09-10,true,false
101428,362490484976,Нурпеисов Ислам Маратович,M,2014-05-18,5084,1006,2025-09-01,true,false
103164,866355715339,Ким Милана Ерлановна,F,2011-06-18,5185,1012,2025-09-02,true,false
106641,228538116733,Ахметова Виктория Маратовна,F,2011-11-03,5394,1025,2025-09-09,true,false
104563,397721624129,Смагулова София Алексеевна,F,2011-04-08,5267,1017,2025-09-08,true,false
102309,906136559616,Сериков Данияр Маратович,M,2012-08-21,5137,1009,2025-09-09,true,false
104949,255296926185,Серикова Айгерим Нурлановна,F,2013-07-21,5291,1019,2025-09-07,true,false
100589,540180445784,Ли Ева Руслановна,F,2008-08-17,5035,1002,2025-09-10,true,false
100754,803195321287,Васильев Арман Андреевич,M,2009-06-23,5044,1003,2025-09-13,true,false
105895,805391538690,Серикова Диана Руслановна,F,2011-01-07,5347,1022,2025-09-07,true,false
106538,788050366469,Ахметов Нурислам Кайратович,M,2007-10-07,5387,1024,2025-09-09,true,false
101488,107950040920,Бекенова Алина Сергеевна,F,2013-01-02,5087,1006,2025-09-03,true,false
104287,777122876256,Абдрахманов Ислам Маратович,M,2011-06-11,5251,1016,2025-09-10,true,false
106995,208571583240,Сидоров Максим Нурланович,M,2011-08-13,5414,1026,2025-09-03,true,false
101814,257936157728,Токтарова Жанель Нурлановна,F,2010-05-15,5107,1007,2025-09-14,true,false
104748,920237692395,Васильева Мария Маратовна,F,2014-07-20,5278,1018,2025-09-03,true,false
104100,736091312395,Смагулова Амина Сергеевна,F,2008-08-02,5240,1015,2025-09-10,true,false
106655,795774241832,Ли Алексей Сергеевич,M,2011-05-22,5394,1025,2025-09-11,true,false
106528,334936513132,Ли Ерасыл Ерланович,M,2007-05-13,5387,1024,2025-09-10,true,false
101152,228608548407,Ли Темирлан Русланович,M,2012-11-18,5068,1005,2025-09-02,true,false
106445,786837477965,Ким Мадина Руслановна,F,2011-04-02,5381,1024,2025-09-01,true,false
102402,764358045781,Нурпеисов Алихан Ерланович,M,2008-11-08,5143,1009,2025-09-07,true,false
103722,611615357474,Иванова Виктория Ермековна,F,2011-04-21,5218,1014,2025-09-04,true,false
103401,855559485567,Нурпеисов Санжар Нурланович,M,2012-04-02,5199,1013,2025-09-06,true,false
101864,775238385359,Ахметов Арман Ермекович,M,2009-08-03,5109,1007,2025-09-04,true,false
105097,690077664933,Ли Дамир Ерланович,M,2009-11-11,5300,1019,2025-09-01,true,false
104779,301004920291,Сидоров Темирлан Андреевич,M,2012-06-11,5280,1018,2025-09-10,true,false
104144,546420927564,Сериков Дамир Ермекович,M,2008-06-15,5243,1015,2025-09-06,true,false
101349,932333159725,Ахметов Дамир Ермекович,M,2007-07-04,5080,1005,2025-09-13,true,false
106940,220036927606,Абдрахманова Ева Алексеевна,F,2013-06-12,5411,1026,2025-09-03,true,false
